Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Оліфіренко,Лесь,Леонідович,Чоловік,1997.01.06,Дерун,хутір Вільногірськ,"сквер Виноградна, буд. 1 кв. 42, Ірпінь, 83665",058 733 49 56,mzatula@example.org
Юрчук,Владислав,Трифонівна,Чоловік,1977.01.16,Кінорежисер,місто Олевськ,"шосе Аполона Скальковського, буд. 8, Кіцмань, 05941",+380 (53) 038-30-54,okhrim95@example.com
Василенко,Давид,Мар’янович,Чоловік,1979.09.01,Водій,селище Буськ,"парк 8-ма Суворовська, буд. 953 кв. 6, Шпола, 81030",+380 81 281 57 37,ashovkoplias@example.net
Андріїшин,Оксенія,Лаврентіївна,Жінка,1990.04.19,Агроном,село Тячів,"вулиця Ланжерон, буд. 569 кв. 671, Миронівка, 93873",861-98-00,stefan82@example.net
Ющенко,Орися,Тихонівна,Жінка,1982.02.04,Соціолог,місто Зимогір'я,"парк Паустовського, буд. 4, Шаргород, 51241",185-36-19,arsen25@example.org
Василашко,Ірена,Єфросинівна,Жінка,2005.06.05,Медик,село Пологи ,"парк Наявний 3-й, буд. 87, Дунаївці, 45456",065 554 09 25,cieshchenko@example.net
Закусило,Лариса,Кирилівна,Жінка,1983.03.01,Фізик,село Кальміуське,"проспект Літня, буд. 0 кв. 7, Турка, 67093",+380 (61) 216-24-55,hryhoriitereshchuk@example.com
Перебийніс,Олег,Мартінівна,Чоловік,1976.06.28,Клоун,село Новомиргород,"набережна Садова, буд. 3 кв. 7, Первомайськ, 50478",648 70 68,hryhoriichaban@example.com
Цимбал,Адам,Несторович,Чоловік,1987.04.20,Петрограф,село Гнівань,"провулок Соляний 1-й, буд. 000 кв. 107, Олександрівськ, 15053",+380 08 686 60 64,dzhunles@example.net
Фастенко,Вʼячеслав,Анікітівна,Чоловік,1962.02.11,Краєзнавець,хутір Ананьїв,"парк Бісквітний, буд. 6, Мелітополь, 92814",+380 91 821-17-11,dzyndraiaroslava@example.com
Бараник,Станіслав,Захарович,Чоловік,1956.08.31,Будник,селище Мена ,"провулок Пісочний, буд. 1, Яготин, 09796",+380 16 903-82-58,hiaremko@example.net
Ґерета,Тарас,Варфоломійович,Чоловік,1968.11.11,Дизайнер,хутір Амвросіївка,"набережна Молодогвардійська, буд. 73 кв. 3, Нова Каховка, 85589",+380 (44) 179-33-55,allababiuk@example.org
Дубас,Гліб,Левівна,Чоловік,1996.07.23,Співак,селище Алчевськ,"проспект Радіальна, буд. 4 кв. 1, Збараж, 10590",020 717 74 05,boleslav23@example.org
Гоголь,Маруся,Борисович,Жінка,1962.09.13,Петрограф,селище Ходорів,"сквер Тупиковий, буд. 448 кв. 664, Кривий Ріг, 59448",+380 34 456 14 42,kzabarnyi@example.net
Рябченко,Амалія,Святославівна,Жінка,1994.12.14,Парфюмер,хутір Корсунь-Шевченківський,"вулиця Манежна, буд. 398, Євпаторія, 26403",+380 40 401 45 09,boryslavkabaliuk@example.com
Гаврилишин,Ярослава,Макарович,Жінка,1998.07.31,Астрофізик,село Носівка,"вулиця Тополина, буд. 83, Козятин, 76995",+380 08 437 67 87,milenaartiukh@example.com
Щорс,Розалія,Володимирівна,Жінка,1991.02.09,Хореограф,місто Євпаторія,"сквер Лінія 28-ма, буд. 262 кв. 09, Дніпрорудне, 46365",+380 09 960-63-12,valentynariabets@example.com
Романенко,Василь,Трифонівна,Чоловік,1963.12.29,Палеонтолог,село Одеса,"парк Джерельна, буд. 0 кв. 0, Вишгород, 55736",+380 59 084-22-19,ealeksandrenko@example.org
Деряжний,Гліб,Лаврінівна,Чоловік,1989.12.03,Паралегал,село Золоте,"набережна Короткий, буд. 2, Володимир-Волинський, 57571",057 107 85 19,orest71@example.org
Корпанюк,Костянтин,Володимирівна,Чоловік,1987.05.27,Соціолог,місто Токмак,"сквер Богдана Хмельницького, буд. 8, Гайворон, 13873",040 518 28 84,khrystynasych@example.net
Ісаєнко,Герман,Євстахіївна,Чоловік,1974.12.21,Бібліотекар,селище Бобринець,"вулиця Сабанєєв, буд. 6 кв. 345, Городок, 54183",+380 23 904-63-30,nazartelychenko@example.com
Ященко,Богуслав,Феофанівна,Чоловік,1964.12.06,Скульптор,село Мала Виска,"сквер Сибірська, буд. 5, Тлумач, 26870",029 870-60-02,jmasokha@example.net
Бандурка,Ярема,Захарович,Чоловік,1969.05.17,Бухгалтер,селище Богодухів,"набережна Краснослобідська, буд. 4, Гірник , 91225",637 53 95,ada17@example.net
Щорс,Анжела,Климентівна,Жінка,1991.08.02,Композитор,селище Красилів,"сквер Достоєвського, буд. 66 кв. 74, Кілія, 07348",024 902 66 66,iermolenkoandrii@example.com
Лавренко,Ліза,Корнеліївна,Жінка,1956.01.07,Євнух,хутір Рені,"проспект Лиманчик 2-й Лінія 1-ша, буд. 31 кв. 519, Козятин, 81463",+380 88 468-89-47,hermanbevzenko@example.org
Щириця,Марина,Даніїлівна,Жінка,1978.12.11,Перекладач,селище Рубіжне,"сквер Юрія Олеші, буд. 500 кв. 7, Білозерське, 80685",081-88-99,paliiieva@example.net
Ткач,Марина,Федорович,Жінка,1981.02.22,Геофізик,хутір Галич,"провулок Горбиста, буд. 7 кв. 80, Новояворівськ, 36268",+380 (20) 832-00-17,vivcharenkospas@example.com
Семенченко,Марко,Болеславівна,Чоловік,1984.12.31,Фармацевт,село Сніжне,"проспект Гоголя, буд. 33, Корюківка, 12692",+380 75 698-10-94,barannykvasyl@example.org
Данько,Миколай,Силуанівна,Чоловік,1964.06.20,Водій,селище Хрестівка,"провулок Садова, буд. 44, Бібрка, 08907",030 985-00-36,xbabak@example.org
Саченко,Ілля,Антінович,Чоловік,1957.06.20,Мовознавець,хутір Дружківка,"площа Метрополітенівський, буд. 51 кв. 0, Трускавець, 28345",+380 (66) 623-66-48,oiemets@example.org
Свистун,Ростислав,Мар’янівна,Чоловік,2001.03.08,Лікар,місто Родинське,"провулок Ушинського, буд. 942, Нововолинськ, 60931",+380 77 531-47-17,perepelytsiaeduard@example.org
Литвин,Назар,Мелентіївна,Чоловік,2000.05.01,Продюсер,місто Дніпрорудне,"проспект Шишкіна 2-й, буд. 8, Донецьк, 29800",+380 41 251 81 66,demianenkooleh@example.org
Тимченко,Климент,Юхимівна,Чоловік,1971.01.12,Ріелтор,місто Перемишляни,"вулиця Ананьївська, буд. 31 кв. 784, Корець, 04935",449-57-96,onysymzatula@example.org
Засядько,Лариса,Спартаківна,Жінка,1980.06.01,Дипломат,місто Сорокине,"площа Москеті, буд. 80, Олександрівськ, 08334",188 11 88,kolisnychenkoavrelii@example.com
Батюк,Ольга,Кирилівна,Жінка,1991.08.29,Випробувач,селище Красногорівка,"вулиця Тінистий, буд. 511 кв. 52, Білопілля, 69319",+380 31 498-94-86,heorhiisimashkevych@example.net
Фаренюк,Єлисавета,Григоріївич,Жінка,1989.06.15,Хімік,хутір Червоноград,"вулиця Трудовий, буд. 44, Сарни, 83254",048 604-98-48,klymenthavrylyshyn@example.com
Доценко,Михайлина,Семенівна,Жінка,1975.06.12,Няня,село Помічна,"площа Привокзальна, буд. 64, Деражня, 95190",084 634-23-47,ihor54@example.net
Таран,Олександр,Лаврінівна,Чоловік,1999.10.09,Складальник,хутір Подільськ,"проспект Об'їзна дорога, буд. 397 кв. 739, Судак , 47365",+380 (22) 430-07-06,vholyk@example.net
Туркало,Лукʼян,Соломонівна,Чоловік,1982.06.10,Економіст,хутір Тернівка ,"парк Цебриківська, буд. 6, Глухів, 37756",+380 11 859 22 50,bohuslavdankiv@example.net
Черненко,Григорій,Антігонівна,Чоловік,1989.02.15,Детектив,місто Боково-Хрустальне,"парк Просвіти, буд. 7 кв. 88, Самбір, 42225",+380 40 710 62 01,snizhanabevz@example.com
Демʼяненко,Геннадій,Силуанівна,Чоловік,1955.06.08,Стоматолог,село Херсон,"шосе Маловського, буд. 5, Болехів, 56524",+380 71 856 91 65,tsiupavalentyna@example.net
